descricao,fipeid_marca,,fipeid_modelo,tipoveiculo
AGRALE,102,10000 / 10000 S 2P (DIESEL) (E5),5986,2
AGRALE,102,A10000 2P (DIESEL) (E6),10873,2
AGRALE,102,A10000 4X4 2P (DIESEL) (E6),11363,2
AGRALE,102,A8700 2P (DIESEL) (E6),10874,2
AGRALE,2,MARRUÁ AM 100 2.8 CS TDI DIESEL,4564,0
AGRALE,2,MARRUÁ AM 150 2.8 CS TDI DIESEL,4566,0
AGRALE,2,MARRUÁ AM 200 2.8 CD TDI DIESEL,4567,0
AGRALE,2,MARRUÁ AM 200 ESC. 3.8 TDI DIE.AUT. (E6),10883,0
AGRALE,2,MARRUÁ AM 200 ESCOLAR 2.8 TDI DIESEL,9352,0
AGRALE,2,MARRUÁ AM 200 ESCOLAR 3.8 TDI DIE. (E6),10884,0
AGRALE,2,MARRUÁ AM 200 MICROBUS 2.8 TDI DIESEL,9353,0
AGRALE,2,MARRUÁ AM 250 3.8 CD TDI DIE. AUT. (E6),10864,0
AGRALE,2,MARRUÁ AM 250 3.8 CD TDI DIESEL (E6),10569,0
AGRALE,2,MARRUÁ AM 250 3.8 CS TDI DIE. AUT. (E6),10865,0
AGRALE,2,MARRUÁ AM 250 3.8 CS TDI DIESEL (E6),10866,0
ALFA ROMEO,3,155,10,0
APRILIA,62,SR 150CC,8303,1
APRILIA,62,SR RACE 150CC,8304,1
APRILIA,62,SXR 160CC,10130,1
ASTON MARTIN,189,DB12 COUPE 4.0 V8 680CV,11338,0
ASTON MARTIN,189,DB12 VOLANTE 4.0 V8 680CV,11339,0
ASTON MARTIN,189,DBS COUPE 5.2 V12 725CV,10560,0
ASTON MARTIN,189,DBX 4.0 V8 550CV,10561,0
ASTON MARTIN,189,DBX707 4.0 V8 707CV,10562,0
ASTON MARTIN,189,VANTAGE CUPÊ 4.0 V8 510CV,10144,0
ASTON MARTIN,189,VANTAGE CUPÊ F1 EDITION 4.0 V8 535CV,10183,0
ASTON MARTIN,189,VANTAGE ROADSTER F1 EDITION 4.0 V8 535CV,10642,0
AUDI,6,A3 SEDAN ADVANCE 2.0 TFSI S-TRONIC,11367,0
AUDI,6,A3 SEDAN S-LINE 2.0 TFSI S-TRON.(HÍB.),9963,0
AUDI,6,A3 SEDAN S-LINE LIMITED 1.4 TFSI TIPTRO.,9655,0
AUDI,6,A3 SED.PERF. BLACK 2.0 TFSI S-TR. (HIB.),10195,0
AUDI,6,A3 SED.PERF. BLACK 2.0 TFSI S-TRONIC,11366,0
AUDI,6,A3 SPORTB. PERF. BLACK 2.0 S-TRON.(HÍB.),9964,0
AUDI,6,A3 SPORTB. S-LINE 2.0 TFSI S-TRON.(HÍB.),9965,0
AUDI,6,A3 SPORTB. S-LINE LIMITED 1.4 TFSI TIP.,9657,0
AUDI,6,A4 1.8 AUT.,68,0
AUDI,6,A4 1.8 MEC.,69,0
AUDI,6,A4 2.8 30V TIPTRONIC/ AUT.,86,0
AUDI,6,A4 2.8 V6 30V QUATTRO TIPTRONIC,93,0
AUDI,6,A4 PERFOR. BLACK 2.0 TFSI QUAT. S TRONIC,9223,0
AUDI,6,A4 PRESTIGE 2.0 16V TFSI QUATTRO (HÍB.),11036,0
AUDI,6,A4 PRESTIGE 2.0 TFSI S-TRONIC,9894,0
AUDI,6,A4 S LINE 2.0 16V TFSI QUATTRO (HÍB.),11037,0
AUDI,6,A4 S LINE 2.0 TFSI 204CV S TONIC,9824,0
AUDI,6,A5 SPORTB. ADVANC. 2.0 TFSI QUATT. (HÍB),11038,0
